Culture,OCM,Frequency,Proportion_of_Passages
Bororo,763,1,0.02127659574468085
Bororo,165,1,0.02127659574468085
Bororo,827,1,0.02127659574468085
Bororo,846,1,0.02127659574468085
Bororo,177,1,0.02127659574468085
Bororo,831,1,0.02127659574468085
Bororo,224,1,0.02127659574468085
Bororo,828,1,0.02127659574468085
Bororo,841,1,0.02127659574468085
Bororo,833,1,0.02127659574468085
Bororo,586,1,0.02127659574468085
Bororo,582,1,0.02127659574468085
Bororo,0,1,0.02127659574468085
Bororo,787,1,0.02127659574468085
Bororo,778,1,0.02127659574468085
Bororo,771,1,0.02127659574468085
Bororo,769,1,0.02127659574468085
Bororo,856,1,0.02127659574468085
Bororo,825,1,0.02127659574468085
Bororo,237,1,0.02127659574468085
Central Thai,775,78,0.35454545454545455
Central Thai,778,69,0.31363636363636366
Central Thai,755,31,0.1409090909090909
Central Thai,789,31,0.1409090909090909
Central Thai,787,27,0.12272727272727273
Central Thai,784,22,0.1
Central Thai,782,17,0.07727272727272727
Central Thai,788,17,0.07727272727272727
Central Thai,776,15,0.06818181818181818
Central Thai,769,14,0.06363636363636363
Central Thai,792,12,0.05454545454545454
Central Thai,826,11,0.05
Central Thai,178,11,0.05
Central Thai,514,11,0.05
Central Thai,262,10,0.045454545454545456
Central Thai,757,9,0.04090909090909091
Central Thai,777,9,0.04090909090909091
Central Thai,764,9,0.04090909090909091
Central Thai,771,8,0.03636363636363636
Central Thai,827,8,0.03636363636363636
Central Thai,823,8,0.03636363636363636
Central Thai,844,8,0.03636363636363636
Central Thai,832,7,0.031818181818181815
Central Thai,756,7,0.031818181818181815
Central Thai,855,7,0.031818181818181815
Central Thai,177,7,0.031818181818181815
Central Thai,846,7,0.031818181818181815
Central Thai,774,7,0.031818181818181815
Central Thai,761,7,0.031818181818181815
Central Thai,743,6,0.02727272727272727
Central Thai,744,6,0.02727272727272727
Central Thai,828,6,0.02727272727272727
Central Thai,759,6,0.02727272727272727
Central Thai,824,6,0.02727272727272727
Central Thai,843,6,0.02727272727272727
Central Thai,795,6,0.02727272727272727
Central Thai,563,5,0.022727272727272728
Central Thai,304,5,0.022727272727272728
Central Thai,212,5,0.022727272727272728
Central Thai,852,5,0.022727272727272728
Central Thai,758,5,0.022727272727272728
Central Thai,779,4,0.01818181818181818
Central Thai,154,4,0.01818181818181818
Central Thai,571,4,0.01818181818181818
Central Thai,845,4,0.01818181818181818
Central Thai,783,4,0.01818181818181818
Central Thai,829,4,0.01818181818181818
Central Thai,278,3,0.013636363636363636
Central Thai,164,3,0.013636363636363636
Central Thai,342,3,0.013636363636363636
Central Thai,854,3,0.013636363636363636
Central Thai,791,3,0.013636363636363636
Central Thai,346,3,0.013636363636363636
Central Thai,766,3,0.013636363636363636
Central Thai,532,3,0.013636363636363636
Central Thai,513,2,0.00909090909090909
Central Thai,731,2,0.00909090909090909
Central Thai,794,2,0.00909090909090909
Central Thai,372,2,0.00909090909090909
Central Thai,622,2,0.00909090909090909
Central Thai,836,2,0.00909090909090909
Central Thai,772,2,0.00909090909090909
Central Thai,831,2,0.00909090909090909
Central Thai,165,2,0.00909090909090909
Central Thai,531,2,0.00909090909090909
Central Thai,842,2,0.00909090909090909
Central Thai,159,2,0.00909090909090909
Central Thai,443,2,0.00909090909090909
Central Thai,115,2,0.00909090909090909
Central Thai,869,2,0.00909090909090909
Central Thai,484,2,0.00909090909090909
Central Thai,822,2,0.00909090909090909
Central Thai,763,2,0.00909090909090909
Central Thai,276,2,0.00909090909090909
Central Thai,592,2,0.00909090909090909
Central Thai,266,2,0.00909090909090909
Central Thai,812,2,0.00909090909090909
Central Thai,261,2,0.00909090909090909
Central Thai,576,2,0.00909090909090909
Central Thai,626,1,0.004545454545454545
Central Thai,853,1,0.004545454545454545
Central Thai,554,1,0.004545454545454545
Central Thai,621,1,0.004545454545454545
Central Thai,368,1,0.004545454545454545
Central Thai,146,1,0.004545454545454545
Central Thai,121,1,0.004545454545454545
Central Thai,302,1,0.004545454545454545
Central Thai,527,1,0.004545454545454545
Central Thai,596,1,0.004545454545454545
Central Thai,162,1,0.004545454545454545
Central Thai,553,1,0.004545454545454545
Central Thai,562,1,0.004545454545454545
Central Thai,555,1,0.004545454545454545
